,time,username,likes
5182,2015-01-15 05:00:00+00,eBayGlobal,3329478
5197,2015-01-15 05:00:00+00,invisalign,82434
5246,2015-01-15 05:00:00+00,marriottinternational,232334
5255,2015-01-15 05:00:00+00,LamResearchCorporation,1647
5323,2015-01-15 05:00:00+00,Cerner,12503
5343,2015-01-15 05:00:00+00,Broadcom,9299
5382,2015-01-15 05:00:00+00,Walgreens,4375080
5415,2015-01-15 05:00:00+00,OfficialCSX,139251
5442,2015-01-15 05:00:00+00,dexcom,15099
5443,2015-01-15 05:00:00+00,Cintas,10738
5455,2015-01-15 05:00:00+00,xcelenergy,14956
5462,2015-01-15 05:00:00+00,Qualcomm,1234752
5473,2015-01-15 05:00:00+00,Kraft,37397
5480,2015-01-15 05:00:00+00,EA,3501308
5497,2015-01-15 05:00:00+00,Costco,1245942
5506,2015-01-15 05:00:00+00,lululemon,1117309
5507,2015-01-15 05:00:00+00,CDWCorporation,59600
5534,2015-01-16 05:00:00+00,eBayGlobal,3330210
5538,2015-01-16 05:00:00+00,xcelenergy,14961
5540,2015-01-16 05:00:00+00,Costco,1246354
5544,2015-01-16 05:00:00+00,Verisign,308341
5578,2015-01-16 05:00:00+00,Cerner,12519
5608,2015-01-16 05:00:00+00,dexcom,15115
5651,2015-01-16 05:00:00+00,dollartree,1373388
5659,2015-01-16 05:00:00+00,invisalign,82474
5684,2015-01-16 05:00:00+00,splunk,6623
5704,2015-01-16 05:00:00+00,Copart,96532
5731,2015-01-16 05:00:00+00,lululemon,1117863
5746,2015-01-16 05:00:00+00,EA,3504568
5755,2015-01-16 05:00:00+00,Qualcomm,1234831
5779,2015-01-16 05:00:00+00,OfficialCSX,139288
5800,2015-01-16 05:00:00+00,Walgreens,4375364
5811,2015-01-16 05:00:00+00,Broadcom,9306
5838,2015-01-16 05:00:00+00,Kraft,37428
5846,2015-01-16 05:00:00+00,marriottinternational,232452
5859,2015-01-16 05:00:00+00,LamResearchCorporation,1649
5890,2015-01-16 05:00:00+00,illuminainc,3573
5900,2015-01-16 05:00:00+00,CDWCorporation,59600
5907,2015-01-16 05:00:00+00,Cintas,10754
5975,2015-01-17 05:00:00+00,EA,3508226
5984,2015-01-17 05:00:00+00,Cintas,10755
5993,2015-01-17 05:00:00+00,Qualcomm,1234878
6004,2015-01-17 05:00:00+00,Kraft,37451
6012,2015-01-17 05:00:00+00,dexcom,15131
6030,2015-01-17 05:00:00+00,Costco,1246648
6039,2015-01-17 05:00:00+00,OfficialCSX,139320
6067,2015-01-17 05:00:00+00,Broadcom,9309
6084,2015-01-17 05:00:00+00,Walgreens,4375636
6125,2015-01-17 05:00:00+00,eBayGlobal,3330764
6135,2015-01-17 05:00:00+00,Cerner,12522
6177,2015-01-17 05:00:00+00,marriottinternational,232518
6221,2015-01-17 05:00:00+00,LamResearchCorporation,1650
6281,2015-01-17 05:00:00+00,invisalign,82497
6299,2015-01-17 05:00:00+00,illuminainc,3578
6304,2015-01-17 05:00:00+00,splunk,6629
6307,2015-01-17 05:00:00+00,dollartree,1373562
6332,2015-01-17 05:00:00+00,Verisign,309706
6346,2015-01-17 05:00:00+00,Copart,96807
6383,2015-01-17 05:00:00+00,CDWCorporation,59603
6402,2015-01-17 05:00:00+00,lululemon,1118410
6416,2015-01-17 05:00:00+00,xcelenergy,14965
6448,2015-01-18 05:00:00+00,splunk,6639
6468,2015-01-18 05:00:00+00,EA,3511954
6480,2015-01-18 05:00:00+00,Cintas,10758
6495,2015-01-18 05:00:00+00,Kraft,37475
6500,2015-01-18 05:00:00+00,dollartree,1373804
6503,2015-01-18 05:00:00+00,xcelenergy,14963
6504,2015-01-18 05:00:00+00,Qualcomm,1234906
6533,2015-01-18 05:00:00+00,dexcom,15142
6592,2015-01-18 05:00:00+00,Costco,1246966
6597,2015-01-18 05:00:00+00,OfficialCSX,139337
6605,2015-01-18 05:00:00+00,LamResearchCorporation,1649
6634,2015-01-18 05:00:00+00,CDWCorporation,59599
6641,2015-01-18 05:00:00+00,Broadcom,9314
6688,2015-01-18 05:00:00+00,Walgreens,4375891
6692,2015-01-18 05:00:00+00,Verisign,311551
6775,2015-01-18 05:00:00+00,Cerner,12527
